"","week","obsCount","nLists","region"
"157",32,19,19,"NWAUS"
"158",33,114,22,"NWAUS"
"159",34,33,21,"NWAUS"
"160",35,85,29,"NWAUS"
"161",36,44,25,"NWAUS"
"162",37,50,21,"NWAUS"
"163",38,9,18,"NWAUS"
"164",39,36,13,"NWAUS"
"165",40,15,18,"NWAUS"
"166",41,389,22,"NWAUS"
"167",42,77,27,"NWAUS"
"168",43,16,12,"NWAUS"
"169",44,14,16,"NWAUS"
"170",45,5,11,"NWAUS"
"171",46,125,8,"NWAUS"
"172",47,36,5,"NWAUS"
"173",48,447,14,"NWAUS"
"174",49,453,6,"NWAUS"
"175",51,7,4,"NWAUS"
"176",52,1,4,"NWAUS"
"177",1,67,104,"NAUS"
"178",2,112,104,"NAUS"
"179",3,49,88,"NAUS"
"180",4,77,92,"NAUS"
"181",5,83,95,"NAUS"
"182",6,259,95,"NAUS"
"183",7,139,102,"NAUS"
"184",8,53,85,"NAUS"
"185",9,95,92,"NAUS"
"186",10,62,91,"NAUS"
"187",11,50,97,"NAUS"
"188",12,75,90,"NAUS"
"189",13,44,94,"NAUS"
"190",14,29,77,"NAUS"
"191",15,39,97,"NAUS"
"192",16,23,81,"NAUS"
"193",17,14,68,"NAUS"
"194",18,20,73,"NAUS"
"195",19,22,91,"NAUS"
"196",20,43,89,"NAUS"
"197",21,73,97,"NAUS"
"198",22,38,86,"NAUS"
"199",23,30,83,"NAUS"
"200",24,75,89,"NAUS"
"201",25,44,110,"NAUS"
"202",26,65,115,"NAUS"
"203",27,57,119,"NAUS"
"204",28,58,110,"NAUS"
"205",29,56,104,"NAUS"
"206",30,104,107,"NAUS"
"207",31,86,88,"NAUS"
"208",32,135,100,"NAUS"
"209",33,112,106,"NAUS"
"210",34,221,103,"NAUS"
"211",35,138,105,"NAUS"
"212",36,228,91,"NAUS"
"213",37,131,115,"NAUS"
"214",38,241,126,"NAUS"
"215",39,166,121,"NAUS"
"216",40,122,125,"NAUS"
"217",41,112,135,"NAUS"
"218",42,115,115,"NAUS"
"219",43,98,125,"NAUS"
"220",44,184,109,"NAUS"
"221",45,177,111,"NAUS"
"222",46,193,122,"NAUS"
"223",47,111,111,"NAUS"
"224",48,70,89,"NAUS"
"225",49,98,75,"NAUS"
"226",50,224,91,"NAUS"
"227",51,90,69,"NAUS"
"228",52,95,73,"NAUS"
"229",53,37,22,"NAUS"
"230",1,2039,421,"SEAUS"
"231",2,2545,366,"SEAUS"
"232",3,2575,311,"SEAUS"
"233",4,2183,328,"SEAUS"
"234",5,2268,286,"SEAUS"
"235",6,1890,299,"SEAUS"
"236",7,2319,308,"SEAUS"
"237",8,2058,281,"SEAUS"
"238",9,1582,315,"SEAUS"
"239",10,1689,284,"SEAUS"
"240",11,1016,298,"SEAUS"
"241",12,504,265,"SEAUS"
"242",13,476,237,"SEAUS"
"243",14,281,208,"SEAUS"
"244",15,469,221,"SEAUS"
"245",16,207,215,"SEAUS"
"246",17,134,206,"SEAUS"
"247",18,170,212,"SEAUS"
"248",19,229,218,"SEAUS"
"249",20,155,201,"SEAUS"
"250",21,173,201,"SEAUS"
"251",22,193,217,"SEAUS"
"252",23,349,222,"SEAUS"
"253",24,179,220,"SEAUS"
"254",25,155,216,"SEAUS"
"255",26,147,225,"SEAUS"
"256",27,151,283,"SEAUS"
"257",28,268,259,"SEAUS"
"258",29,329,192,"SEAUS"
"259",30,472,185,"SEAUS"
"260",31,396,204,"SEAUS"
"261",32,701,200,"SEAUS"
